fid,DN,Area in km2
"337","243",0.00250000000244007
"338","172",0.00187500000309944
"339","243",0.00125000000103563
"340","172",0.00499999985102937
"341","243",0.0018749997311011
"342","243",0.00312499946775287
"343","172",0.000625000000910833
"344","243",0.00124999999875575
"345","243",0.00125000000098348
"346","243",0.00187500011709519
"347","243",0.00187500027095713
"348","14",0.000624999996259809
"349","243",0.00062500000510551
"350","172",0.00187500011794269
"351","14",0.000624999996623024
"352","243",0.00062499999328889
"353","243",0.000624999993113801
"354","172",0.00312499987408519
"355","243",0.00062499999367632
"356","243",0.0256250016586315
"357","243",0.00124999999602884
"358","172",0.00250000041835755
"359","14",0.00187499987883493
"360","243",0.013124999636896
"361","218",0.00125000000089966
"362","243",0.00250000001032092
"363","14",0.000624999997746199
"364","243",0.000625000003462657
"365","218",0.00124999999682605
"366","243",0.00375000000273064
"367","243",0.000624999996779487
"368","243",0.000624999995483086
"369","243",0.00062499999519065
"370","243",0.000624999999139458
"371","243",0.00562499999525398
"372","218",0.000624999997349456
"373","218",0.000625000004950911
"374","243",0.000624999996632338
"375","243",0.00187499999955297
"376","243",0.000624999997947365
"377","243",0.000625000010518357
"378","243",0.000625000000096858
"379","243",0.00124999999736994
"380","243",0.00187500026623532
"381","243",0.00312499973925389
"382","243",0.00624999817561917
"383","243",0.00187500026347861
"384","218",0.000625000001735985
"385","243",0.0031250003864225
"386","14",0.00124999999535456
"387","243",0.00312499957680516
"388","243",0.0256249979886971
"389","218",0.00125000000488572
"390","243",0.00249999999877997
"391","14",0.000624999995805323
"392","172",0.00250000043193623
"393","172",0.000625000004559755
"394","243",0.000625000001475215
"395","243",0.000624999998787418
"396","218",0.000624999988688156
"397","243",0.000624999996723607
"398","218",0.000625000012457371
"399","243",0.000624999998914078
"400","243",0.000624999997094274
"401","243",0.00124999999853782
"402","243",0.00124999999696761
"403","243",0.000625000004950911
"404","14",0.00062499999926053
"405","14",0.000624999997330829
"406","172",0.000625000005804002
"407","243",0.000625000005930662
"408","14",0.000625000003714114
"409","243",0.00375000080620497
"410","14",0.000625000005915761
"411","218",0.00562499971814454
"412","243",0.00124999999534152
"413","218",0.000625000000789761
"414","243",0.00125000000303984
"415","243",0.000625000003473833
"416","218",0.000625000001972541
"417","243",0.000625000005302951
"418","218",0.00062499999736622
"419","218",0.000625000001940876
"420","243",0.000625000008901581
"421","243",0.00124999999667704
"422","243",0.000625000004438683
"423","243",0.00124999999938905
"424","172",0.000625000005479902
"425","243",0.000625000007953495
"426","14",0.00187499986875989
"427","243",0.00187500012769736
"428","243",0.000625000002458692
"429","243",0.000625000007711351
"430","243",0.00062500000429526
"431","243",0.000624999995049089
"432","243",0.00125000000387244
"433","243",0.00187500000074506
"434","218",0.000625000010022894
"435","172",0.000624999996971339
"436","243",0.00062499999150075
"437","243",0.000625000001844019
"438","14",0.229999999133402
"439","243",0.0131249993484207
"440","172",0.00375000134845264
"441","243",0.00750000204998814
"442","218",0.00375000000359863
"443","218",0.00125000001142547
"444","243",0.00437500026675872
"445","218",0.00437500029901043
"446","243",0.0018749997203853
"447","243",0.00625000024943985
"448","172",0.00124999999815971
"449","243",0.00187499986981228
"450","218",0.000624999998299405
"451","243",0.00437500012282096
"452","243",0.000624999993573874
"453","218",0.0887499995460492
"454","243",0.000625000009451061
"455","218",0.00437499872880615
"456","243",0.00062500000182353
"457","243",0.00625000066977181
"458","243",0.00125000000473298
"459","243",0.000624999999377877
"460","243",0.0012499999855049
"461","172",0.000625000005308539
"462","243",0.00125000000548922
"463","243",0.000624999998558313
"464","218",0.00624999960188754
"465","243",0.00250000080635957
"466","243",0.00187500012932159
"467","172",0.00124999999343231
"468","243",0.00125000000161305
"469","243",0.00187499999740534
"470","243",0.00374999932961911
"471","243",0.000624999997945502
"472","243",0.000625000004764646
"473","243",0.00250000000337325
"474","243",0.00062499998296611
"475","218",0.00374999944729917
"476","14",0.00124999999942631
"477","243",0.000624999998850748
"478","243",0.00125000000568107
"479","243",0.000625000004217029
"480","14",0.00312499946755357
"481","172",0.00250000043659285
"482","243",0.000624999996835366
"483","243",0.000624999997086823
"484","218",0.000625000001138076
"485","243",0.0149999994343687
"486","218",0.000625000004913658
"487","218",0.00124999999310449
"488","243",0.00437500134813599
"489","243",0.00375000015136227
"490","243",0.000625000001685694
"491","243",0.000624999994810671
"492","243",0.000625000000108033
"493","243",0.00187499999460764
"494","243",0.00562500114469416
"495","243",0.00124999999991804
"496","14",0.000624999997595325
"497","14",0.00062499999890849
"498","243",0.000625000000076369
"499","172",0.000625000009169802
"500","243",0.000625000006431714
"501","14",0.000624999999145046
"502","243",0.00125000000645593
"503","243",0.00187500000695884
"504","172",0.000624999996576458
"505","243",0.00437499986828864
"506","243",0.00375000361964479
"507","218",0.00437500012923405
"508","14",0.000625000004749745
"509","243",0.0031250018114727
"510","243",0.00249999931418337
"511","243",0.000624999997097999
"512","243",0.000624999998934567
"513","218",0.000624999993523583
"514","243",0.00125000000053272
"515","218",0.000625000002946705
"516","243",0.017499999868406
"517","14",0.000624999991755933
"518","218",0.000625000001519918
"519","218",0.000625000000886619
"520","243",0.00625000362934917
"521","243",0.00750000068096817
"522","172",0.000624999995125458
"523","243",0.00187500000082329
"524","243",0.000624999993793666
"525","243",0.00124999999989197
"526","243",0.000624999998530373
"527","14",0.0006249999963101
"528","243",0.000625000002320856
"529","243",0.000625000002132729
"530","243",0.00125000000106543
"531","243",0.00124999999766611
"532","14",0.000624999993801117
"533","14",0.000625000004008412
"534","172",0.0037499986491818
"535","243",0.000625000001315028
"536","14",0.000624999998785555
