Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,33,17:09:39,17:11:08,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00116,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,34,17:13:47,17:23:56,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00117 to 121,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,35,17:27:18,17:28:08,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00122,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,36,18:11:23,18:11:57,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00123,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,37,18:15:01,18:17:26,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00123 to 125,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,38,18:15:39,18:16:23,20230705,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00125,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,39,18:06:32,18:07:56,20230706,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00127,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,40,18:09:13,18:09:46,20230706,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00128,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,41,18:09:15,18:09:56,20230706,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00128,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,42,17:42:02,17:42:07,20230707,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00143,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,43,18:04:24,18:08:15,20230707,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00144 to 146,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,44,18:04:24,18:11:12,20230707,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00144 to 148,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,45,18:09:03,18:09:05,20230707,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00146,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,46,18:09:33,18:10:19,20230707,Post presence,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00147,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,47,18:10:48,18:11:11,20230707,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00148,
Corroboree Park,52,-35.269,149.141853,1,NA,Left,North,20230630,16:50,48,17:48:40,17:52:54,20230708,Post attempt,NA,Cacatua galerita,,CorroboreePark/Level1/110723/00149,
